"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21894","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases","","Mon May 26 21:22:02 UTC 2025","passed","Mon May 26 21:22:24 UTC 2025","","Edit Case","",""
"","468","2.2 Confirmation on warning modal completes login and logs out user on other machine","Login page","Mon May 26 21:16:12 UTC 2025","failed","Mon May 26 21:16:12 UTC 2025","","2. Warning that user is logged in on other browser or device","",""
"","600","2 Import Media - Precheck Only","","Mon May 26 21:16:13 UTC 2025","failed","Mon May 26 21:16:13 UTC 2025","","Import Media","",""
"","86801","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Mon May 26 21:16:24 UTC 2025","failed","Mon May 26 21:17:51 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","325389","Add Dispo Task with 11 1DA items and assign to Org Admin, --set different actions for item using all variations--using Actions menu and grid, --check statuses and notes upon submission","","Mon May 26 21:50:07 UTC 2025","failed","Mon May 26 21:55:32 UTC 2025","","Dispo Auth","",""
"","22914","4.  Case Number Formatting at Org level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Mon May 26 21:21:16 UTC 2025","passed","Mon May 26 21:21:39 UTC 2025","","Edit Case","",""
"","9259","1.3.1 --- with required Custom Form filled out, all required fields on Form","Add User","Mon May 26 21:49:13 UTC 2025","failed","Mon May 26 21:49:23 UTC 2025","","1.3 --- with Custom Forms","",""
"","546","9 Validation messages for blank values","","Mon May 26 21:16:26 UTC 2025","failed","Mon May 26 21:16:27 UTC 2025","","Import Notes","",""
"","61938","A.N_1. Add Note to Case","","Mon May 26 21:39:28 UTC 2025","failed","Mon May 26 21:40:30 UTC 2025","","Add Notes","",""
"","2","5 Five thousand notes for Item and verify notes count on search","","Mon May 26 21:16:24 UTC 2025","skipped","Mon May 26 21:16:24 UTC 2025","","Import Notes","",""
"","21291","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling","","Mon May 26 21:28:13 UTC 2025","passed","Mon May 26 21:28:35 UTC 2025","","Edit Item","",""
"","0","1.6. Create and run DR for single parent location - multiple Discrepancies Found","Inventory Reports","Mon May 26 21:15:15 UTC 2025","skipped","Mon May 26 21:15:15 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","439","1. Verify list of already existing services are in place and all listed services have a green status","","Mon May 26 21:16:28 UTC 2025","failed","Mon May 26 21:16:28 UTC 2025","","System Services Page: verify the existing Services are in place, if a new Service gets added =>check the status for all of those","",""
"","0","I.C_3 Case with custom fields","","Mon May 26 21:15:14 UTC 2025","skipped","Mon May 26 21:15:14 UTC 2025","","Import Cases","",""
"","41883","1.7. Add Item from Person View/ ""Items Belonging to"" tab -- redirect to Add Duplicate Item page and complete the action","Add Item","Mon May 26 21:28:14 UTC 2025","passed","Mon May 26 21:28:56 UTC 2025","","1. Org Admin","",""
"","551","1 Import Notes for Case","","Mon May 26 21:16:22 UTC 2025","failed","Mon May 26 21:16:23 UTC 2025","","Import Notes","",""
"","18322","4. Add a Person with disabled fields & check if those are shown up on Person Edit page after enabling all of the rest of the fields and editing Business Name / First Name / Last Name","","Mon May 26 21:30:46 UTC 2025","passed","Mon May 26 21:31:04 UTC 2025","","Edit Person","",""
"","66864","3.5 --- Splitting item with Currency Form attached","Add Item","Mon May 26 21:35:00 UTC 2025","passed","Mon May 26 21:36:06 UTC 2025","","3 Add Item with Custom Form","",""
"","45580","3.3 --- with required Currency Form attached - System Template","Add Item","Mon May 26 21:33:08 UTC 2025","passed","Mon May 26 21:33:53 UTC 2025","","3 Add Item with Custom Form","",""
"","154","S.I_1. Search by Item Description","","Mon May 26 21:15:52 UTC 2025","failed","Mon May 26 21:15:52 UTC 2025","","Search Item","",""
"","30838","4. Edit and verify reduced number of values on Item View page ","","Mon May 26 21:27:42 UTC 2025","passed","Mon May 26 21:28:13 UTC 2025","","Edit Item","",""
"","0","1.4 Org Admin-- minimum case fields -- redirect to Add Person page","Add Case","Mon May 26 21:15:30 UTC 2025","skipped","Mon May 26 21:15:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","43617","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Mon May 26 21:22:16 UTC 2025","passed","Mon May 26 21:23:00 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","0","6. Import update for item status (CheckIn transaction)","","Mon May 26 21:15:25 UTC 2025","skipped","Mon May 26 21:15:25 UTC 2025","","Import Item Updates","",""
"","29611","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Mon May 26 21:29:44 UTC 2025","passed","Mon May 26 21:30:13 UTC 2025","","Edit Person","",""
"","50758","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ","Add Item","Mon May 26 21:25:47 UTC 2025","passed","Mon May 26 21:26:38 UTC 2025","","1. Org Admin","",""
"","34027","1.1.4 validation message for inactive user account","Add User","Mon May 26 21:48:28 UTC 2025","passed","Mon May 26 21:49:02 UTC 2025","","1.1 Org Admin","",""
"","0","2 Import Locations with required fields - verify default properties","","Mon May 26 21:16:02 UTC 2025","skipped","Mon May 26 21:16:02 UTC 2025","","Import Locations","",""
"","16761","1.3. Business Name populated only -- redirect to Add Item page","Add Person","Mon May 26 21:41:39 UTC 2025","passed","Mon May 26 21:41:56 UTC 2025","","1. Org Admin","",""
"","12621","1.1.1 Add task with required fields only -- Unassigned-- keep template content-- search for task on the grid by Creator name-- verify values on grid","Add Task","Mon May 26 21:45:37 UTC 2025","failed","Mon May 26 21:45:50 UTC 2025","","1.1 Org Admin","",""
"","0","1.6 Org Admin-- minimum case fields -- redirect to Notes tab on Case View page","Add Case","Mon May 26 21:15:30 UTC 2025","skipped","Mon May 26 21:15:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","15978","1.2. Optional fields disabled -- redirect to View Added Item -- Item Belongs To Shows All People"" turned OFF in Org Settings -- multiple values selected for ""Item Belongs to"" and Tags","Add Item","Mon May 26 21:26:38 UTC 2025","failed","Mon May 26 21:26:54 UTC 2025","","1. Org Admin","",""
"","137","1.2 Validation messages","","Mon May 26 21:16:11 UTC 2025","failed","Mon May 26 21:16:11 UTC 2025","","Login page","",""
"","1","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions","Add Case","Mon May 26 21:15:30 UTC 2025","skipped","Mon May 26 21:15:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","0","1.2 Org Admin-- minimum case fields -- redirect to Add Case page again","Add Case","Mon May 26 21:15:30 UTC 2025","skipped","Mon May 26 21:15:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","1","2 Import Person with all updated fields - Precheck Only","","Mon May 26 21:16:45 UTC 2025","skipped","Mon May 26 21:16:45 UTC 2025","","Import People Updates","",""
"","0","I.C_2 Case with minimum number of fields","","Mon May 26 21:15:14 UTC 2025","skipped","Mon May 26 21:15:14 UTC 2025","","Import Cases","",""
"","86106","3.2. --- with required Custom Form but not filled out, all optional fields on Form","Add Person","Mon May 26 21:43:32 UTC 2025","failed","Mon May 26 21:44:58 UTC 2025","","3. Add Person with Custom Form","",""
"","38408","7. Remove all optional values & check history records","","Mon May 26 21:22:24 UTC 2025","passed","Mon May 26 21:23:03 UTC 2025","","Edit Case","",""
"","3410","1.9. Only active people should show up in ""Recovered By"" field when searching by first/middle/last name or email","Add Item","Mon May 26 21:29:42 UTC 2025","failed","Mon May 26 21:29:46 UTC 2025","","1. Org Admin","",""
"","55492","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)","","Mon May 26 21:19:35 UTC 2025","passed","Mon May 26 21:20:30 UTC 2025","","Edit Case","",""
"","16421","Add User ","","Mon May 26 21:46:00 UTC 2025","failed","Mon May 26 21:46:16 UTC 2025","","Add User","",""
"","0","7. Item Updates Import - Precheck Only","","Mon May 26 21:15:25 UTC 2025","skipped","Mon May 26 21:15:25 UTC 2025","","Import Item Updates","",""
"","20979","2.1 verify Org Case Number Format and check that Case Review Date/Notes is NOT displayed for Org Admin","Add Case","Mon May 26 21:15:34 UTC 2025","passed","Mon May 26 21:15:55 UTC 2025","","2. --- with Case Number formatting in Org, AutoDispo OFF ","",""
"","87798","3.1 --- with required Custom Form filled out, all required fields on Form","Add Item","Mon May 26 21:29:53 UTC 2025","failed","Mon May 26 21:31:21 UTC 2025","","3 Add Item with Custom Form","",""
"","104238","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters","","Mon May 26 21:31:26 UTC 2025","failed","Mon May 26 21:33:10 UTC 2025","","Edit User","",""
"","2","2. Item with all fields - Disposed Status","","Mon May 26 21:15:35 UTC 2025","broken","Mon May 26 21:15:35 UTC 2025","","Import Items","",""
"","170","1.1.1 'equals' correct Person's name","Search Checkouts","Mon May 26 21:15:43 UTC 2025","failed","Mon May 26 21:15:43 UTC 2025","1.1 Checked Out To","1 Org Admin","",""
"","599","2. Import and verify Person with minimum fields","","Mon May 26 21:16:35 UTC 2025","failed","Mon May 26 21:16:36 UTC 2025","","Import People","",""
"","0","5. Import update for item status (Undispose transaction)","","Mon May 26 21:15:25 UTC 2025","skipped","Mon May 26 21:15:25 UTC 2025","","Import Item Updates","",""
"","1","1. Import updates for all item fields","","Mon May 26 21:15:25 UTC 2025","broken","Mon May 26 21:15:25 UTC 2025","","Import Item Updates","",""
"","1","I.C.U_2 Case Updates Import - Precheck Only","","Mon May 26 21:15:05 UTC 2025","skipped","Mon May 26 21:15:05 UTC 2025","","Import Case Updates","",""
"","18960","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again","Add Person","Mon May 26 21:41:20 UTC 2025","passed","Mon May 26 21:41:39 UTC 2025","","1. Org Admin","",""
"","15259","A.M_3. Add Media to Person","","Mon May 26 21:38:37 UTC 2025","passed","Mon May 26 21:38:52 UTC 2025","","Add Media","",""
"","0","1.5. Create and run DR for multiple parent and child locations  - starting with Child loc - switching back to parent location-  No Discrepancies Found","Inventory Reports","Mon May 26 21:15:15 UTC 2025","skipped","Mon May 26 21:15:15 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","27140","3.1 verify Office Case Number Format with default validation message","Add Case","Mon May 26 21:17:17 UTC 2025","failed","Mon May 26 21:17:44 UTC 2025","","3. --- with Case Number formatting in Office ","",""
"","16897","1. Edit and verify all values on Person View page","","Mon May 26 21:29:27 UTC 2025","failed","Mon May 26 21:29:44 UTC 2025","","Edit Person","",""
"","4596","1.4. Add item from Item Search -- redirect to Case View /Items tab","Add Item","Mon May 26 21:27:00 UTC 2025","failed","Mon May 26 21:27:05 UTC 2025","","1. Org Admin","",""
"","0","3. Import update for item status (Move transaction)","","Mon May 26 21:15:25 UTC 2025","skipped","Mon May 26 21:15:25 UTC 2025","","Import Item Updates","",""
"","27172","4.1 verify Org Default Case Number Prefix, clear a default value and save the other one","Add Case","Mon May 26 21:18:00 UTC 2025","passed","Mon May 26 21:18:27 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","585","1. Import and verify People with all fields - 1 person linked to 1 case, other person linked to 2 cases","","Mon May 26 21:16:34 UTC 2025","failed","Mon May 26 21:16:35 UTC 2025","","Import People","",""
"","77320","2. Edit and verify all values on Item View page -- keep the previous values in multiselect fields  - Tags & Item Belongs To; 2.1. hitting *enter* button does not wipe out Additional Barcode","","Mon May 26 21:25:35 UTC 2025","passed","Mon May 26 21:26:52 UTC 2025","","Edit Item","",""
"","0","1.4. Create and run DR for multiple parent and child locations - starting with Child loc -  No Discrepancies Found","Inventory Reports","Mon May 26 21:15:15 UTC 2025","skipped","Mon May 26 21:15:15 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","65459","3.4 --- Duplicating item with Currency Form attached","Add Item","Mon May 26 21:33:54 UTC 2025","passed","Mon May 26 21:34:59 UTC 2025","","3 Add Item with Custom Form","",""
"","11698","1.4. redirect to Case View page","Add Person","Mon May 26 21:41:56 UTC 2025","passed","Mon May 26 21:42:08 UTC 2025","","1. Org Admin","",""
"","10885","1.2.1. Office Admin can create a new user account","Add User","Mon May 26 21:49:02 UTC 2025","failed","Mon May 26 21:49:13 UTC 2025","","1.2 Power User -- all permissions in Office","",""
"","6038","1.1.3 validation message for missing permissions","Add User","Mon May 26 21:48:22 UTC 2025","failed","Mon May 26 21:48:28 UTC 2025","","1.1 Org Admin","",""
"","1","1 Import Locations with all fields","","Mon May 26 21:16:02 UTC 2025","broken","Mon May 26 21:16:02 UTC 2025","","Import Locations","",""
